author_id,ref_author
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
1,0
1,5084
1,13236
1,14828
1,17210
2,0
2,15
2,2462
2,2991
2,2992
2,2993
2,5082
2,6149
2,6463
2,13050
2,14738
2,18931
2,19007
2,19008
2,19009
2,19010
2,19011
2,19012
2,19013
2,19014
2,19015
2,19016
2,19017
2,19018
2,19019
2,19020
2,19021
2,19022
3,0
3,2
3,5
3,24
3,31
3,32
3,45
3,460
3,2996
3,2997
3,3680
3,4568
3,5816
3,6459
3,6461
3,13773
3,14342
3,14738
3,14744
3,14825
3,19019
3,24193
3,24464
3,24465
3,24972
3,31294
3,38218
3,38219
3,38220
3,38221
3,38222
3,38223
4,0
4,2
4,4
4,5
4,6
4,13
4,18
4,19
4,21
4,32
4,3688
4,5193
4,5817
4,14825
4,14826
4,19008
4,19010
4,19017
4,19596
4,23112
4,24464
4,27220
4,27222
4,27527
4,34017
4,41770
4,41771
4,41772
4,41773
4,41774
5,0
5,7
5,33
5,34
5,736
5,2029
5,2034
5,2994
5,2996
5,5812
5,6254
5,6256
5,8633
5,13231
5,14826
5,14828
5,15671
5,17210
5,23703
5,23710
5,24465
5,27431
5,34521
5,40384
5,41774
5,44023
5,46756
5,47138
5,47139
5,47140
5,47141
5,47142
6,2
6,3
6,8
6,3785
6,3786
6,3787
6,3788
6,3789
6,3790
6,3791
6,3792
6,3793
7,2
7,3569
7,3573
7,3578
7,3580
7,3582
7,3584
7,3688
7,4560
7,4561
7,4562
7,4563
7,4564
7,4565
7,4566
7,4567
7,4568
7,4569
8,2
8,1706
8,13573
8,13574
8,13575
8,13576
9,2
9,3572
9,14340
9,14341
9,14342
10,2
10,4
10,5
10,19594
10,19595
10,19596
10,19597
10,19598
11,2
11,28
11,1706
11,3685
11,19465
11,22376
12,2
12,5
12,26336
12,26337
13,2
13,5
13,15
13,40
13,2993
13,2994
13,2996
13,9018
13,19594
13,19595
13,28360
13,28361
13,28362
14,2
14,105
14,409
14,974
14,1701
14,1706
14,2058
14,2313
14,3172
14,3182
14,6090
14,7564
14,8608
14,10158
14,10233
14,13082
14,13085
14,14092
14,15898
14,19288
14,19464
14,19949
14,22424
14,22750
14,22751
14,23922
14,25795
14,27527
14,27739
14,27740
14,28402
14,28403
14,28404
14,28405
14,28406
14,28407
15,2
15,2463
15,18697
15,31377
15,31378
16,2
16,7
16,9
16,18
16,1706
16,2996
16,6256
16,6459
16,19461
16,27220
16,27222
16,32739
16,32740
16,32741
16,32742
17,2
17,27
17,29
17,15670
17,21774
17,21775
17,21776
17,25794
17,25795
17,25800
17,34478
18,2
18,32
18,3684
18,4565
18,5082
18,5085
18,8506
18,8629
18,14746
18,23703
18,24975
18,33227
18,35368
18,35374
18,35379
18,35454
18,35455
18,35456
18,35457
18,35458
18,35459
19,2
19,43
19,2988
19,19595
19,34304
19,39759
19,39760
19,39761
19,39762
19,39763
19,39764
20,2
20,393
20,407
20,2300
20,2452
20,3785
20,5811
20,6289
20,7364
20,7508
20,7525
20,9928
20,14719
20,14746
20,20516
20,31699
20,31705
20,40384
20,40385
20,40386
20,40387
20,40388
20,40389
20,40390
21,2
21,5
21,18
21,23
21,30
21,39
21,3685
21,5817
21,6254
21,16314
21,19595
21,19772
21,34044
21,40605
21,40606
21,40607
21,40608
22,2
22,6
22,2034
22,2035
22,2996
22,5084
22,5810
22,5813
22,5817
22,7509
22,14659
22,24463
22,24595
22,26837
22,29150
22,36479
22,36846
22,41065
22,41066
22,41067
22,41068
22,41069
22,41070
22,41071
22,41072
23,2
23,5
23,20
23,42
23,2991
23,2992
23,4565
23,18350
23,18931
23,19017
23,19021
23,19594
23,19595
23,27217
23,33761
23,35433
23,43817
23,43818
23,43819
23,43820
23,43821
24,2
24,5
24,27
24,29
24,3685
24,3787
24,5817
24,9019
24,15722
24,15772
24,16443
24,19465
24,21774
24,21775
24,22014
24,22376
24,22750
24,25796
24,25800
24,26351
24,31348
24,35436
24,36242
24,41071
24,41393
24,45537
24,47372
24,47373
24,47374
24,47375
24,47376
24,47377
