interaction,inter
1000043976551026690,1
1000044320483893248,2
1000057125891133440,3
1000069465969713152,4
1000104162292617221,5
100017919,6
1000196540,7
1000201182021730304,8
1000214682530074624,9
1000289028,10
1000320009569218560,11
100034461,12
1000369273221648385,13
10003862,14
1000408573,15
1000418229385392128,16
1000419876480020480,17
1000447647646408704,18
1000455289575882753,19
1000474184970129409,20
1000502815528136704,21
1000525334033379328,22
1000540062,23
1000644295890784258,24
1000737919538167808,25
1000744188592513030,26
1000762605688926208,27
1000829918085877760,28
1000832710590382080,29
1000835549870075906,30
1000908590796898304,31
1000908951087714305,32
1000937617356148736,33
1000968684,34
1001007432712245248,35
100107733,36
100111203,37
1001127051070492678,38
1001180007132205056,39
10012122,40
1001242816176148481,41
1001269952043679746,42
1001270780766965761,43
1001285146392383489,44
1001292956,45
1001374075,46
1001409548832395265,47
1001412277474652160,48
100144319,49
1001478911274967040,50
1001490308130070530,51
1001499086162485248,52
1001579850698665984,53
1001592024254971904,54
1001593903433170944,55
1001663707045421058,56
1001749519199956992,57
1001771000684523521,58
1001819356647616516,59
1001862606116786177,60
1001903900117688320,61
1001905424541478912,62
1001942934957187072,63
1001990407708753920,64
1001992604186300416,65
1002037376,66
1002051481229459456,67
1002071252566147072,68
1002131275,69
1002170240548134912,70
1002174228,71
1002176828315000832,72
1002180429091430400,73
1002195733322268672,74
1002231419656134657,75
1002301402486468608,76
1002338298482720774,77
1002351915529834497,78
1002361219,79
1002363240737837063,80
1002455178983936000,81
1002575018197438465,82
1002595894162644993,83
1002645247388774400,84
100265861,85
1002664349746548736,86
1002688565946601472,87
1002701889656455169,88
1002742280577429504,89
1002776353807183872,90
1002855557617930241,91
1002929683174973441,92
1002949740806529024,93
1003006981735636993,94
10030442,95
1003108539366338560,96
1003124977,97
10032502,98
1003282495750660097,99
1003315199842177026,100
1003316864527634433,101
1003324985417584640,102
1003359369029922817,103
1003386089883815936,104
1003429478146588673,105
1003480025239179264,106
100360234,107
1003621575546023936,108
1003674891302948865,109
1003681546463793159,110
1003719203810136065,111
100371998,112
1003722170646892544,113
1003724318621069314,114
1003728211036049408,115
1003729311164182529,116
1003742742466453504,117
1003743163729604608,118
1003753267044597760,119
1003758288,120
1003785219705581568,121
1003795774768107520,122
1003924068926705664,123
1003978159740669953,124
1004007935008108544,125
1004035539299946496,126
1004058420335562753,127
1004062312469286918,128
10041062,129
100410807,130
100413913,131
1004147462,132
100414855,133
100422192,134
1004227364,135
1004239930690682880,136
1004264387186778112,137
1004305615320178689,138
1004319926943920128,139
1004334196062605312,140
1004339803314446336,141
1004347948845666305,142
100435917,143
1004416763864350720,144
1004425774982729730,145
1004442438537269256,146
1004458117701226499,147
1004461165597089792,148
1004481589399769088,149
1004513971897077760,150
1004514694671974400,151
1004548539832102914,152
1004573923,153
1004621834321580032,154
1004694289,155
1004695724272095232,156
1004738971711262720,157
1004740380632502273,158
1004743036415471617,159
1004765550470258690,160
1004777016,161
1004824902443110402,162
100482942,163
1004859815695351809,164
1004862571655069706,165
1004901,166
1004906129107890177,167
1004932530,168
1004940221782286336,169
100502343,170
1005023899619295238,171
1005067218206408704,172
1005067424,173
1005071547739136000,174
1005190380109926406,175
1005192034330669056,176
1005258452,177
100534368,178
1005429295874011136,179
1005484560052781056,180
100553084,181
1005551820716924928,182
1005559321365753856,183
1005609277074165760,184
100564273,185
1005657448831692800,186
1005663707114844160,187
10057582,188
1005762436203343873,189
1005791110411837440,190
1005798791918866435,191
1005804917636902913,192
1005816677437669376,193
1005848382,194
1005853354180767744,195
1005858677801340928,196
1005922040,197
1005934212720013312,198
1006020248,199
1006040902182297601,200
1006147188177727489,201
1006206846,202
100621507,203
1006222491956776960,204
1006227483866337281,205
100624571,206
1006267536508375040,207
1006342599014150144,208
1006345506044465153,209
1006367342308147200,210
1006381554086506497,211
1006474869570093056,212
1006501454,213
1006504176283553792,214
1006549053621133312,215
1006589734548799489,216
1006638139367190531,217
1006651871610789893,218
1006652004,219
1006672576410718208,220
1006676134086443008,221
1006697963291398144,222
1006719346855555073,223
100671950,224
1006812087870525441,225
1006854313187082241,226
1006974758951546882,227
1007049419819307008,228
1007064211091083265,229
1007284936720740352,230
1007321467279826944,231
1007328171212107777,232
1007329176167337984,233
1007331177693315073,234
1007333952,235
1007363158258978818,236
1007368768341856264,237
1007384120,238
1007445260551708672,239
1007463154362863617,240
1007469420,241
1007483605226905600,242
1007496800851431424,243
1007506423,244
1007507581,245
100751034,246
1007526580917297152,247
1007539454964387840,248
1007658485763493888,249
1007667565856985089,250
1007682083978956800,251
100768865,252
1007719479252606982,253
1007767014,254
1007776070920278016,255
1008010147166326784,256
1008011455600517124,257
100802089,258
1008034586599788545,259
1008050968250986496,260
1008091678228533249,261
100809366,262
1008167701,263
100818283,264
1008256938,265
1008322449794953216,266
100838474,267
1008419756628586496,268
1008464226619359232,269
1008514116716191744,270
1008528950,271
1008534511540424704,272
10085872,273
1008617937605783552,274
10086332,275
1008640118,276
100866814,277
1008718299998375936,278
1008780623157301249,279
1008784776654934018,280
1008799915244490752,281
1008803324563468289,282
1008819048354852864,283
1008821156982460416,284
100886455,285
1008876944379858944,286
1008877695046828032,287
1008913707131330560,288
1008918773984825344,289
1008970396371075072,290
1009022579900702721,291
1009107462778249216,292
100911793,293
1009135273379278850,294
1009208382090248200,295
1009211809448857602,296
1009238000,297
1009246449148874755,298
1009342619263127552,299
1009383027796054016,300
1009387795,301
1009407560,302
1009425820434272256,303
1009450952116637696,304
1009474268034318336,305
1009510935613132800,306
1009553795918057472,307
1009560837734846464,308
1009643622478827520,309
1009760267771809792,310
1009762503318896641,311
1009856160432906241,312
1009892540114403328,313
1009914056461996032,314
1009943248641642496,315
1009973127168905216,316
1009985596276854784,317
1010032984915759104,318
101005636,319
101009579,320
1010166112561004544,321
1010169176,322
1010217863125364736,323
1010221634513526784,324
1010252262,325
1010286604097814530,326
1010310818,327
101032302,328
101032322,329
1010344996854104066,330
1010386127532933120,331
1010403170353401856,332
1010408766,333
1010433183496597504,334
101043870,335
1010554610006806528,336
1010582920744976384,337
1010630103469117446,338
1010680528436121600,339
1010728704614412293,340
1010817000,341
101084228,342
1010874978177126405,343
101091076,344
1010913448740380672,345
1010965076701048832,346
1010972484,347
1010983588156846080,348
1010994487873757185,349
1011026495500738561,350
1011090496041701376,351
1011120284,352
10111462,353
1011161038476206081,354
1011175250774462464,355
1011237224,356
1011254192525271042,357
1011282900124348416,358
101129043,359
1011294865861341185,360
1011308525807693829,361
1011312692173463555,362
1011582004565905408,363
1011586465703317504,364
101160526,365
1011632610,366
1011644961878675458,367
1011645140,368
1011726183778672645,369
1011777828696625153,370
101179386,371
1011804409863593984,372
1011819396694757376,373
1011843344257802241,374
1011846081355833344,375
1011848549212905472,376
1011861417425637376,377
1011888057660919808,378
1011932498518073346,379
1011952996907962369,380
1012000616472858624,381
1012051532672618497,382
1012054549966835712,383
101207254,384
1012077931974283266,385
1012125950,386
1012142192381562881,387
1012264487712260096,388
1012287528760741888,389
1012347720516816896,390
1012351320953708545,391
1012407193386258433,392
1012421286394454016,393
1012426060435279872,394
1012454272926089216,395
1012470011078762496,396
1012471769465155584,397
1012472611,398
101248459,399
1012488631,400
1012503916637048833,401
101251315,402
1012536734452678656,403
1012601293267963909,404
101265941,405
1012683499290157056,406
1012721484412801024,407
1012729890209136640,408
1012730068324573184,409
1012734964494929920,410
1012794104332374023,411
101288547,412
1012928761254178816,413
1012963182544130048,414
101303446,415
1013044587999395840,416
1013090165768716288,417
1013112311190417408,418
1013113352485265409,419
1013141803917176832,420
1013171811213807616,421
1013171848543170564,422
1013266149826531330,423
1013275280817848320,424
1013352344153554947,425
1013374544,426
1013469840064045057,427
1013507349867266048,428
1013513513296330754,429
1013685108182638594,430
1013687630314332160,431
1013699711709179904,432
1013718076058144768,433
1013747895810560001,434
1013753838719979521,435
1013784972812005376,436
1013800890,437
1013815662521737216,438
1013875392321675264,439
1013900362540036098,440
1013902074365427712,441
1013915103610060800,442
1013927323396202497,443
101395252,444
101398753,445
1014042087501660160,446
1014072049977835521,447
1014078038856863749,448
1014153331021762560,449
1014174377330593793,450
1014209436217462784,451
1014212604749852678,452
101422435,453
1014224486701391872,454
1014238085008232453,455
1014240061188116480,456
1014252035292745728,457
1014254450381221888,458
1014259528546672640,459
1014321434913624064,460
1014323236010512384,461
1014375057240408064,462
1014432911242747904,463
1014446397712629760,464
10144972,465
1014517433460129792,466
1014527215344680960,467
1014532429439291398,468
1014553321057718278,469
1014579262639169536,470
1014600254883270657,471
1014641957983924224,472
1014695499289452545,473
101470141,474
1014726726994182145,475
1014740716264701952,476
101476381,477
1014765899725844481,478
101487168,479
1014962123087204353,480
1014971722708209664,481
1015031972597465088,482
1015045702458707975,483
1015049539349344258,484
1015191786229202944,485
1015195208303202304,486
1015270357077495808,487
1015304517980643328,488
1015358898784514049,489
1015448038989619201,490
1015470341551022081,491
1015550131645530113,492
1015661811700510724,493
1015688320985202691,494
1015692100548034560,495
1015746323251957766,496
101575189,497
1015833950,498
1015862712260276224,499
1015979809749585920,500
1015991,501
1016004575202086912,502
1016071407917256705,503
101607876,504
1016159561068240896,505
101618342,506
1016196995856265217,507
1016223230,508
1016287835505221632,509
1016311260021972993,510
101631705,511
1016412761549606913,512
1016415942148947968,513
1016420068651962368,514
1016456145173557248,515
1016465150919036928,516
1016485288879837184,517
1016487483138138112,518
1016492760826859521,519
1016498000431144960,520
1016505443475165189,521
1016513928241860608,522
1016571081489084416,523
1016573954,524
101662449,525
1016651511491846149,526
10167932,527
1016804191300345856,528
1016810456898555907,529
1016870092733202432,530
1016882174275047424,531
1016927497093443584,532
1016968607643918336,533
101700098,534
1017034021929472000,535
1017064630647214082,536
1017099438937042944,537
1017154883932131328,538
1017200650147549184,539
1017230707054309377,540
1017253508247007232,541
1017390909074231303,542
1017418038805704704,543
1017481567361478658,544
1017491808719233025,545
1017528574327345153,546
1017600870287052800,547
1017650079610613760,548
1017726456049397761,549
1017786066546413569,550
1017801732758306816,551
1017819745880543238,552
1017887092553154560,553
101789090,554
1017894988431155203,555
1018061645539520514,556
1018103840900513793,557
1018129960282873858,558
101816065,559
1018169070582206465,560
101819499,561
1018210629633691648,562
1018234295297761282,563
1018238996143460352,564
1018294379138699265,565
1018302277,566
1018353918135488517,567
1018379703894401025,568
1018402424887767041,569
1018422037,570
1018425398869282817,571
101846489,572
1018480419753390081,573
1018595944420593665,574
1018641249602080769,575
1018660462685249536,576
1018697824282656768,577
1018727760930529280,578
1018750562404200448,579
1018832953860853760,580
1018845066415263745,581
101889372,582
1018915507251146752,583
10189332,584
1018952875240775681,585
101895393,586
1018956622717210626,587
1018963040040038401,588
1018967557947232257,589
1018969848498532352,590
1019060826,591
1019148469288820738,592
1019188722,593
1019212616630177792,594
1019242424,595
1019242797604278277,596
1019263659816693760,597
1019410066041028608,598
1019496372515540992,599
1019505355578052608,600
101951772,601
1019550778527305728,602
101956358,603
1019570826973204480,604
1019592802156662784,605
1019599187560804353,606
1019610610177323011,607
101970219,608
1019711692744294406,609
1019724328957444096,610
101974483,611
1019782707897745408,612
1019856380486963200,613
1019941081444732928,614
1019954663221813248,615
1019986819,616
1020058453,617
1020091683008962560,618
1020169889686966272,619
10202,620
1020207119453188096,621
102026247,622
1020268348309848065,623
1020273727047700481,624
1020287906596999169,625
1020304318631743488,626
102032113,627
1020322572,628
102032941,629
1020356505395228677,630
1020397482793107458,631
1020402040982339585,632
102040588,633
102044458,634
1020504560102780928,635
102052428,636
1020533503,637
102056246,638
1020583664,639
1020662868524511233,640
1020744510345809921,641
1020768756895604736,642
1020803246980501505,643
1020808702906052608,644
1020835956855910402,645
1020842254947299329,646
1020901816928649221,647
1020944869542584320,648
1020955133142872064,649
1020974176507588609,650
1020982515346100224,651
1021029523943542784,652
1021042302830051328,653
1021055897148231680,654
1021068367833296896,655
102107018,656
1021072911661010944,657
1021073191333171200,658
1021077257450745859,659
102109370,660
1021122050126229505,661
1021143672870621184,662
1021145979456770055,663
1021166068000313344,664
1021213055919828993,665
1021218672755519488,666
102124746,667
1021266048,668
1021285365078949889,669
1021383950659477505,670
1021448870981787649,671
1021461090671030272,672
102154357,673
1021638912245030912,674
1021660731488591872,675
1021669298,676
102168505,677
1021708304878317568,678
1021709858863759360,679
1021767251798700032,680
1021774260866568198,681
102186058,682
1021892427349671936,683
1021917609049169920,684
1022001561055252485,685
102203025,686
1022151865625202689,687
1022183830659235843,688
10222202,689
1022225287,690
102224140,691
1022254674,692
1022272214354325504,693
102227592,694
1022283890,695
102237401,696
1022404081523077125,697
1022435908971376640,698
1022439638,699
102246460,700
1022481720497635328,701
1022485148372226048,702
1022515094306127875,703
1022550095265497088,704
102263558,705
1022679460552888321,706
102270151,707
1022728918053269504,708
1022791577830338560,709
10228272,710
1022854119676174337,711
1022863712150073344,712
1022894267084283905,713
1022906153498550283,714
1022924434011828225,715
1022928404298035200,716
1022980490809069569,717
10230,718
1023008820824616961,719
1023022129779023872,720
1023047237323108354,721
1023140804129370112,722
102319594,723
102329766,724
1023374087899377664,725
1023472122,726
102347845,727
102348331,728
1023485770261299200,729
1023539623,730
1023577571429179394,731
1023632164636639234,732
1023679233174978562,733
1023710832507666437,734
1023756819125039104,735
1023764353391190016,736
1023772412163371008,737
1023794427330871299,738
102384616,739
1023888180452503552,740
1023908042,741
102391534,742
1023941270782140417,743
1023944467206811648,744
1023953340152066048,745
1023953544230187008,746
1024030241478660096,747
1024063075685548033,748
1024071126765395969,749
1024146338903031808,750
102417993,751
1024213873199656961,752
1024256693994180608,753
1024285670,754
1024323314,755
1024335670398136320,756
1024336429198049280,757
1024363833043890176,758
1024372957760684032,759
1024401038596628485,760
1024574273279721474,761
1024603525546950656,762
1024656751226810374,763
1024695761739628544,764
1024710908663218176,765
1024739678635941888,766
1024768328,767
102477208,768
1024934998871343105,769
1024984511094898689,770
1024992584,771
1024997874067820544,772
1025101418,773
1025136873537261568,774
1025242287721332736,775
102524252,776
1025273220302290944,777
